Артикул;Имя;Цена
;Утюг BINATONE SI 2000 A;500
;Утюг BINATONE SI-2000 WG;600
;Утюг BINATONE SI 2600 W;650
;Машинка для стрижки PHILIPS QC 5050;33 333.3
;Машинка для стрижки PHILIPS QC 5070;2400
;Машинка для стрижки PHILIPS QC 5099;2600
100;Электрочайник BINATONE AEJ-1501 CG|WG;300
;Электрочайник BINATONE CEJ-1012 CP;700
;Электрочайник BINATONE CEJ-3300 CP|SG|T|WG;1000
;Электрочайник BINATONE CEJ-3500 BB|BS|CP;875
;Микроволновая печь DELONGHI MW 355;1578
;Микроволновая печь MOULINEX AFM4 43;3000
;Микроволновая печь SAMSUNG C-100 R-5;1025
;Микроволновая печь SAMSUNG CE-2833 NR;2000
;Стиральная машина WHIRLPOOL AWO|D 43115;7523
;Стиральная машина CANDY Aquamatic 1000T-45;2500
;Стиральная машина CANDY CNL 105;8020
;Стиральная машина CANDY Aquamatic 800T-45;11230
;Хлебопечка MOULINEX OW 2000;2005
;Хлебопечка KENWOOD BM 250;2000
;Хлебопечка KENWOOD BM 256;1863
;Хлебопечка KENWOOD BM 350;3000
;ЖК-телевизор SONY KDL-52HX900;30000
;ЖК-телевизор SONY KDL-19BX200|W;25000
;ЖК-телевизор Sony KDL-46NX700;32000
;ЖК-телевизор SONY KDL-32S2000;35000
;Цифровой фотоаппарат SONY DSC-W380;10000
;Цифровой фотоаппарат SONY DSC-TX7;9800
;Цифровой фотоаппарат SONY DSLR-A45;7963
;Цифровой фотоаппарат SONY A290L;5890
;Apple iPod nano 8Гб (5G);1200
;iPod classic 160GB;1110
;Apple iPod touch 32GB (3G);900
;iPod Shuffle;1500
;Утюг BINATONE SI 2660 W;700
;Машинка для стрижки PHILIPS QC 5000;700
