Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;1;Артикул;;Характеристики
;Светильник уличный Belfast EG88114;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88114.gif;<STRONG>Габариты</STRONG><br>Диаметр: 22,0 см<br>Высота: 30,6 см<br>Отступ: 23,9 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>дополнительно 1 лампа на 50W<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88114.jpg;1000;0;0;0;0;0;1;EG88114;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Belfast EG88115;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88115.gif;<STRONG>Габариты</STRONG><br>Диаметр: 22,0 см<br>Высота: 37,6 см<br>Отступ: 23,9 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>дополнительно 1 лампа на 50W<br>влагонепроницаемый<br>сенсорное включение (датчик движения)<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88115.jpg;1000;0;0;0;0;0;1;EG88115;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Belfast EG88116;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88116.gif;<STRONG>Габариты</STRONG><br>Диаметр основания: 11,5 см<br>Диаметр плафона: 22,0 см<br>Высота: 40,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88116.jpg;1000;0;0;0;0;0;1;EG88116;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Belfast EG88117;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88117.gif;<STRONG>Габариты</STRONG><br>Диаметр основания: 11,5 см<br>Диаметр плафона: 22,0 см<br>Высота: 100,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88117.jpg;1000;0;0;0;0;0;1;EG88117;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Belfast EG88118;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88118.gif;<STRONG>Габариты</STRONG><br>Диаметр основания: 20,0 см<br>Диаметр плафона: 22,0 см<br>Диаметр плафонов: 60,6 см<br>Высота: 220,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>дополнительно 3 лампы на 50W<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88118.jpg;1000;0;0;0;0;0;1;EG88118;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxOSI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Calgary EG86387;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86387.gif;<STRONG>Габариты</STRONG><br>Ширина: 10,0 см<br>Высота: 27,0 см<br>Отступ: 12,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86387.jpg;1000;0;0;0;0;0;1;EG86387;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Calgary EG86388;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86388.gif;<STRONG>Габариты</STRONG><br>Ширина: 10,0 см<br>Высота: 43,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86388.jpg;1000;0;0;0;0;0;1;EG86388;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Calgary EG86389;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86389.gif;<STRONG>Габариты</STRONG><br>Ширина: 10,0 см<br>Высота: 110,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86389.jpg;1000;0;0;0;0;0;1;EG86389;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Calgary EG86391;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86391.gif;<STRONG>Габариты</STRONG><br>Ширина: 12,0 см<br>Высота: 27,0 см<br>Отступ: 14,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86391.jpg;1000;0;0;0;0;0;1;EG86391;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Calgary EG86392;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86392.gif;<STRONG>Габариты</STRONG><br>Ширина: 12,0 см<br>Высота: 43,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86392.jpg;1000;0;0;0;0;0;1;EG86392;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
